Y_est,Y_est_moe,Y_uni,Y_uni_moe,NAME,state,county,tract,S0101_C01_001E_x,OA_est,OA_est_moe,S0101_C01_001M_x,S0101_C01_001E_y,F_est,F_est_moe,S0101_C01_001M_y,RM_uni_moe,RM_est_moe,RM_uni,RM_est,EM_est,EM_uni_moe,EM_uni,EM_est_moe,FB_est_moe,FB_uni,FB_uni_moe,FB_est,LEP_uni_moe,LEP_est_moe,LEP_est,LEP_uni,D_est_moe,D_est,D_uni_moe,D_uni,LI_est_moe,LI_est,LI_uni_moe,LI_uni,NC_uni,NC_uni_moe,NC_est,NC_est_moe,GEOID,OA_uni,F_uni,OA_uni_moe,F_uni_moe,RM_est_moe_approx,Y_pct,Y_pct_moe,OA_pct,OA_pct_moe,F_pct,F_pct_moe,RM_pct,RM_pct_moe,EM_pct,EM_pct_moe,FB_pct,FB_pct_moe,LEP_pct,LEP_pct_moe,D_pct,D_pct_moe,LI_pct,LI_pct_moe,NC_pct,NC_pct_moe,IPD_SCORE,Y_score,Y_class,OA_score,OA_class,F_score,F_class,RM_score,RM_class,EM_score,EM_class,FB_score,FB_class,LEP_score,LEP_class,D_score,D_class,LI_score,LI_class,NC_score,NC_class,IPD_SCORE_score,IPD_SCORE_class,indicators_mean,indicators_std,IPD_CONFIDENCE
115,43,1181,205,Census Tract 1.01; District of Columbia; District of Columbia,11,001,000101,1181,373,115,205,1181,678,166,205,205,194,1181,293,90,205,1181,89,77,1181,205,161,187,40,33,1083,28,30,205,1181,48,73,205,1181,803,128,311,115,11001000101,1181,1181,205,205,282.24280327406046,9.7,3.2,31.6,8.0,57.4,9.9,24.8,15.9,7.6,7.4,13.6,6.1,3.0,3.7,2.5,2.3,6.2,3.9,38.7,12.9,19,1,Below Average,4,Well Above Average,3,Above Average,1,Below Average,2,Average,2,Average,2,Average,1,Below Average,1,Below Average,2,Average,2,Average,1.9,0.9944289260117531,Medium
286,106,2404,371,Census Tract 7.04; District of Columbia; District of Columbia,11,001,000704,2404,439,130,371,2404,1365,300,371,371,418,2404,627,286,371,2404,162,298,2404,371,909,375,86,99,2311,70,174,369,2394,102,207,371,2404,1458,230,401,154,11001000704,2404,2404,371,371,558.8962336605964,11.9,4.0,18.3,4.6,56.8,8.9,26.1,16.9,11.9,6.5,37.8,10.9,4.3,3.7,7.3,2.7,8.6,4.0,27.5,9.6,20,1,Below Average,3,Above Average,3,Above Average,1,Below Average,2,Average,4,Well Above Average,2,Average,1,Below Average,1,Below Average,2,Average,2,Average,2.0,1.0540925533894598,Medium
569,115,3136,433,Census Tract 8.02; District of Columbia; District of Columbia,11,001,000802,3136,749,340,433,3136,1498,249,433,433,343,3136,1013,320,433,3136,245,403,3136,433,1049,431,162,208,2974,208,295,433,3136,240,463,433,3136,1458,183,249,99,11001000802,3136,3136,433,433,552.3929760596164,18.1,2.7,23.9,10.3,47.8,4.4,32.3,10.0,10.2,7.7,33.5,12.0,7.0,5.4,9.4,6.5,14.8,7.4,17.1,6.4,19,2,Average,3,Above Average,1,Below Average,1,Below Average,2,Average,4,Well Above Average,2,Average,2,Average,1,Below Average,1,Below Average,2,Average,1.9,0.9944289260117533,Medium
400,128,2521,388,Census Tract 8.03; District of Columbia; District of Columbia,11,001,000803,2521,734,166,388,2521,1554,259,388,388,274,2521,675,213,388,2521,143,353,2521,388,746,362,196,223,2396,111,261,388,2521,296,472,388,2325,1284,143,224,102,11001000803,2521,2521,388,388,474.99473681294614,15.9,4.5,29.1,4.8,61.6,3.9,26.8,10.1,8.4,5.5,29.6,13.2,9.3,8.1,10.4,4.1,20.3,12.3,17.4,7.7,24,2,Average,4,Well Above Average,3,Above Average,1,Below Average,2,Average,4,Well Above Average,3,Above Average,2,Average,2,Average,1,Below Average,3,Above Average,2.4,1.07496769977314,High
955,367,3532,623,Census Tract 8.04; District of Columbia; District of Columbia,11,001,000804,3532,542,129,623,3532,1763,382,623,623,651,3532,559,111,623,3532,87,185,3532,623,578,609,38,69,3343,74,165,620,3509,81,133,622,3126,1229,180,58,52,11001000804,3532,3532,623,623,901.0715842817373,27.0,9.2,15.3,2.5,49.9,6.3,15.8,18.2,3.1,2.4,16.4,4.4,2.1,1.1,4.7,1.9,4.3,2.4,4.7,4.2,14,3,Above Average,2,Average,2,Average,0,Well Below Average,1,Below Average,2,Average,2,Average,1,Below Average,1,Below Average,0,Well Below Average,1,Below Average,1.4,0.966091783079296,Medium
576,138,2134,381,Census Tract 9.02; District of Columbia; District of Columbia,11,001,000902,2134,510,85,381,2134,1121,217,381,381,359,2134,426,182,381,2134,99,84,2134,381,237,371,41,57,2018,67,139,381,2134,158,193,381,2134,850,122,38,35,11001000902,2134,2134,381,381,523.4902100326233,27.0,4.3,23.9,5.8,52.5,3.9,20.0,16.4,8.5,4.4,11.1,3.4,2.8,2.0,6.5,2.9,9.0,7.2,4.5,4.1,17,3,Above Average,3,Above Average,2,Average,1,Below Average,2,Average,2,Average,2,Average,1,Below Average,1,Below Average,0,Well Below Average,1,Below Average,1.7,0.9486832980505138,Medium
269,72,3201,209,Census Tract 9.03; District of Columbia; District of Columbia,11,001,000903,3201,231,67,209,3201,1815,224,209,209,242,3201,654,292,209,3201,144,147,3201,209,480,191,43,79,3129,93,214,209,3201,100,131,200,1106,382,61,0,14,11001000903,3201,3201,209,209,319.7577207824699,8.4,2.2,7.2,2.0,56.7,5.9,20.4,7.4,9.1,4.5,15.0,4.5,2.5,1.4,6.7,2.9,11.8,8.8,0.0,3.7,14,1,Below Average,1,Below Average,3,Above Average,1,Below Average,2,Average,2,Average,2,Average,1,Below Average,1,Below Average,0,Well Below Average,1,Below Average,1.4,0.8432740427115679,Medium
854,120,3250,447,Census Tract 9.04; District of Columbia; District of Columbia,11,001,000904,3250,905,161,447,3250,1650,350,447,447,387,3250,867,275,447,3250,169,298,3250,447,738,407,165,151,3077,102,258,447,3250,175,239,447,3250,1191,117,175,80,11001000904,3250,3250,447,447,591.2512156435706,26.3,0.8,27.8,3.1,50.8,8.2,26.7,11.3,8.5,5.1,22.7,8.6,4.9,5.3,7.9,2.9,7.4,5.3,14.7,6.6,21,3,Above Average,4,Well Above Average,2,Average,1,Below Average,2,Average,3,Above Average,2,Average,2,Average,1,Below Average,1,Below Average,2,Average,2.1,0.9944289260117531,High
520,262,3348,564,Census Tract 10.02; District of Columbia; District of Columbia,11,001,001002,3348,377,129,564,3348,1716,343,564,564,543,3348,606,155,564,3348,131,250,3348,564,519,512,179,231,3196,69,96,564,3348,289,534,564,3348,1962,273,487,155,11001001002,3348,3348,564,564,782.9080405769249,15.5,7.4,11.3,3.4,51.3,5.5,18.1,15.9,4.6,3.8,15.5,7.0,7.2,5.5,2.9,2.0,15.9,8.2,24.8,7.1,16,2,Average,2,Average,2,Average,1,Below Average,1,Below Average,2,Average,2,Average,1,Below Average,2,Average,1,Below Average,1,Below Average,1.6,0.5163977794943223,High
909,261,2895,526,Census Tract 10.03; District of Columbia; District of Columbia,11,001,001003,2895,530,69,526,2895,1319,205,526,526,533,2895,559,219,526,2895,157,225,2895,526,541,464,224,185,2716,54,100,522,2866,192,230,420,2818,1050,138,19,25,11001001003,2895,2895,526,526,748.8424400366208,31.4,7.0,18.3,4.1,45.6,10.9,19.3,18.1,7.6,5.2,18.7,7.0,6.8,8.2,3.5,1.8,8.2,6.7,1.8,2.4,17,3,Above Average,3,Above Average,1,Below Average,1,Below Average,2,Average,3,Above Average,2,Average,1,Below Average,1,Below Average,0,Well Below Average,1,Below Average,1.7,1.0593499054713804,Medium
997,196,3959,448,Census Tract 10.04; District of Columbia; District of Columbia,11,001,001004,3959,818,137,448,3959,2143,326,448,448,394,3959,857,279,448,3959,191,184,3959,448,524,414,66,94,3800,154,386,445,3952,245,588,448,3807,1550,154,298,143,11001001004,3959,3959,448,448,596.6070733740927,25.2,4.0,20.7,2.6,54.1,5.5,21.6,9.6,7.0,4.8,13.2,4.4,2.5,1.7,9.8,3.7,15.4,6.2,19.2,9.0,19,3,Above Average,3,Above Average,2,Average,1,Below Average,2,Average,2,Average,2,Average,2,Average,1,Below Average,1,Below Average,2,Average,1.9,0.7378647873726218,High
764,175,4508,634,Census Tract 11; District of Columbia; District of Columbia,11,001,001100,4508,1149,212,634,4508,2438,429,634,634,462,4508,1462,257,634,4508,156,217,4508,634,785,624,117,181,4378,204,388,634,4444,294,505,634,4388,2070,389,571,288,11001001100,4508,4508,634,634,784.4743462982075,16.9,3.1,25.5,3.0,54.1,5.7,32.4,9.2,5.7,3.4,17.4,4.1,4.1,2.6,8.7,4.4,11.5,6.5,27.6,12.9,19,2,Average,4,Well Above Average,2,Average,1,Below Average,1,Below Average,2,Average,2,Average,2,Average,1,Below Average,2,Average,2,Average,1.9,0.875595035770913,High
741,104,4711,611,Census Tract 12; District of Columbia; District of Columbia,11,001,001200,4711,1047,365,611,4711,2429,355,611,611,576,4711,1193,368,611,4711,232,454,4711,611,1115,597,102,122,4522,208,481,611,4711,229,581,611,4711,2460,321,757,199,11001001200,4711,4711,611,611,839.7005418600133,15.7,0.8,22.2,7.2,51.6,3.5,25.3,11.8,7.8,4.8,23.7,9.1,2.7,2.2,10.2,4.2,12.3,4.6,30.8,7.0,20,2,Average,3,Above Average,2,Average,1,Below Average,2,Average,3,Above Average,2,Average,2,Average,1,Below Average,2,Average,2,Average,2.0,0.6666666666666666,High
560,148,3965,513,Census Tract 13.01; District of Columbia; District of Columbia,11,001,001301,3965,874,298,513,3965,2410,355,513,513,418,3965,1267,377,513,3965,259,242,3965,513,497,503,77,96,3828,122,201,513,3914,214,490,514,3868,2090,279,619,279,11001001301,3965,3965,513,513,661.734841156184,14.1,3.3,22.0,7.0,60.8,4.3,32.0,9.7,9.5,6.4,12.5,5.9,2.5,2.0,5.1,3.0,12.7,5.3,29.6,12.8,19,2,Average,3,Above Average,3,Above Average,1,Below Average,2,Average,2,Average,2,Average,1,Below Average,1,Below Average,2,Average,2,Average,1.9,0.7378647873726218,High
259,106,3537,523,Census Tract 13.03; District of Columbia; District of Columbia,11,001,001303,3537,764,172,523,3537,2079,380,523,523,396,3537,1065,432,523,3537,204,305,3537,523,601,510,72,61,3384,125,251,523,3537,285,630,523,3537,2258,256,862,265,11001001303,3537,3537,523,523,656.0068597202319,7.3,2.8,21.6,3.7,58.8,6.3,30.1,10.3,12.2,5.5,17.0,8.2,1.8,2.1,7.1,3.4,17.8,7.6,38.2,10.9,18,1,Below Average,3,Above Average,3,Above Average,1,Below Average,2,Average,2,Average,1,Below Average,1,Below Average,2,Average,2,Average,2,Average,1.8,0.7888106377466155,High
122,73,4083,640,Census Tract 13.04; District of Columbia; District of Columbia,11,001,001304,4083,693,221,640,4083,2018,418,640,640,527,4083,1243,504,640,4083,201,259,4083,640,654,642,138,87,4068,256,389,640,4083,172,286,640,4083,2800,391,785,269,11001001304,4083,4083,640,640,829.0530742962118,3.0,1.7,17.0,4.7,49.4,6.7,30.4,12.0,12.3,4.5,16.0,5.8,2.1,3.4,9.5,6.1,7.0,4.1,28.0,8.8,18,1,Below Average,3,Above Average,2,Average,1,Below Average,2,Average,2,Average,2,Average,2,Average,1,Below Average,2,Average,2,Average,1.8,0.6324555320336759,High
885,173,3324,462,Census Tract 14.01; District of Columbia; District of Columbia,11,001,001401,3324,567,62,462,3324,1579,273,462,462,223,3324,1220,523,462,3324,215,354,3324,462,697,360,105,158,2978,49,113,462,3324,94,185,462,3324,1351,156,306,120,11001001401,3324,3324,462,462,513.0038986206634,26.6,3.7,17.1,3.0,47.5,4.9,36.7,4.4,15.7,6.1,21.0,10.2,5.3,3.5,3.4,1.4,5.6,2.7,22.6,8.5,19,3,Above Average,3,Above Average,1,Below Average,1,Below Average,3,Above Average,3,Above Average,2,Average,1,Below Average,1,Below Average,1,Below Average,2,Average,1.9,0.9944289260117533,Medium
844,241,3488,468,Census Tract 14.02; District of Columbia; District of Columbia,11,001,001402,3488,1060,181,468,3488,1813,274,468,468,434,3488,1117,340,468,3488,186,135,3488,468,504,380,37,41,3215,103,360,468,3446,94,184,468,3446,1654,182,335,110,11001001402,3488,3488,468,468,638.2632685655661,24.2,6.1,30.4,3.2,52.0,3.6,32.0,11.7,9.7,5.2,14.4,3.3,1.3,1.1,10.4,2.6,5.3,2.6,20.3,6.3,19,3,Above Average,4,Well Above Average,2,Average,1,Below Average,2,Average,2,Average,1,Below Average,2,Average,1,Below Average,1,Below Average,2,Average,1.9,0.9944289260117531,Medium
1500,229,5619,792,Census Tract 15; District of Columbia; District of Columbia,11,001,001500,5619,1500,312,792,5619,3020,552,792,792,668,5619,1657,605,792,5619,531,389,5619,792,632,772,366,414,5200,154,248,792,5453,74,98,792,5453,2072,291,77,57,11001001500,5619,5619,792,792,1036.0926599489062,26.7,1.6,26.7,4.1,53.7,6.3,29.5,11.1,10.8,9.3,11.2,6.7,8.0,6.9,4.5,2.7,1.8,1.3,3.7,2.7,19,3,Above Average,4,Well Above Average,2,Average,1,Below Average,2,Average,2,Average,3,Above Average,1,Below Average,1,Below Average,0,Well Below Average,2,Average,1.9,1.1972189997378646,Medium
1443,289,5071,620,Census Tract 16; District of Columbia; District of Columbia,11,001,001600,5071,1166,187,620,5071,2479,386,620,620,172,5071,3926,448,620,5071,281,361,5071,620,648,568,97,132,4715,195,560,620,5067,114,250,624,4993,1789,205,18,17,11001001600,5071,5071,620,620,643.4158841682415,28.5,4.5,23.0,2.4,48.9,4.7,77.4,10.1,8.8,5.4,12.8,6.9,2.8,2.0,11.1,3.6,5.0,2.2,1.0,0.9,20,3,Above Average,3,Above Average,2,Average,3,Above Average,2,Average,2,Average,2,Average,2,Average,1,Below Average,0,Well Below Average,2,Average,2.0,0.9428090415820634,High
642,209,3387,474,Census Tract 17.02; District of Columbia; District of Columbia,11,001,001702,3387,504,84,474,3387,1969,386,474,474,302,3387,1882,279,474,3387,164,104,3387,474,226,450,63,54,3189,86,197,473,3372,97,203,473,3374,1625,217,284,110,11001001702,3387,3387,474,474,562.0320275571491,19.0,5.6,14.9,1.3,58.1,8.0,55.6,4.4,8.2,4.7,6.7,2.9,1.7,2.0,5.8,2.4,6.0,2.7,17.5,6.4,16,2,Average,2,Average,3,Above Average,2,Average,2,Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,1.6,0.6992058987801011,High
965,253,3795,610,Census Tract 18.03; District of Columbia; District of Columbia,11,001,001803,3795,528,168,610,3795,2156,449,610,610,160,3795,3439,1243,610,3795,642,493,3795,610,1427,554,411,1206,3692,296,635,610,3795,581,1733,610,3795,1683,219,640,226,11001001803,3795,3795,610,610,630.6346010171025,25.4,5.3,13.9,3.8,56.8,7.5,90.6,15.2,32.8,16.1,37.6,11.5,32.7,10.0,16.7,7.3,45.7,13.4,38.0,12.5,31,3,Above Average,2,Average,3,Above Average,3,Above Average,4,Well Above Average,4,Well Above Average,4,Well Above Average,3,Above Average,3,Above Average,2,Average,4,Well Above Average,3.1,0.7378647873726218,High
1705,544,5428,903,Census Tract 18.04; District of Columbia; District of Columbia,11,001,001804,5428,754,271,903,5428,3264,666,903,903,114,5428,5293,2072,903,5428,688,609,5428,903,1983,837,480,1465,5253,291,805,903,5428,794,1885,903,5428,1997,252,687,286,11001001804,5428,5428,903,903,910.1675669897274,31.4,8.6,13.9,4.4,60.1,7.1,97.5,16.4,38.2,11.0,36.5,9.4,27.9,8.0,14.8,4.8,34.7,13.4,34.4,13.6,31,3,Above Average,2,Average,3,Above Average,3,Above Average,4,Well Above Average,4,Well Above Average,4,Well Above Average,3,Above Average,3,Above Average,2,Average,4,Well Above Average,3.1,0.7378647873726218,High
1352,467,4581,945,Census Tract 19.01; District of Columbia; District of Columbia,11,001,001901,4581,741,365,945,4581,2408,441,945,945,205,4581,3419,907,945,4581,377,253,4581,945,704,980,311,514,4255,98,233,945,4581,829,967,945,4581,1658,389,185,99,11001001901,4581,4581,945,945,966.979834329548,29.5,8.2,16.2,7.2,52.6,14.5,74.6,16.0,19.8,7.1,15.4,4.5,12.1,6.8,5.1,1.9,21.1,17.6,11.2,5.4,22,3,Above Average,2,Average,2,Average,3,Above Average,3,Above Average,2,Average,3,Above Average,1,Below Average,2,Average,1,Below Average,3,Above Average,2.2,0.7888106377466155,High
528,103,2212,252,Census Tract 19.02; District of Columbia; District of Columbia,11,001,001902,2212,300,61,252,2212,1174,182,252,252,191,2212,1667,335,252,2212,148,134,2212,252,347,220,73,173,2037,69,208,252,2212,204,419,252,2212,827,86,114,71,11001001902,2212,2212,252,252,316.2040480449294,23.9,3.8,13.6,2.3,53.1,5.6,75.4,0.9,15.1,6.5,15.7,5.8,8.5,3.5,9.4,2.9,18.9,9.0,13.8,8.5,22,3,Above Average,2,Average,2,Average,3,Above Average,2,Average,2,Average,3,Above Average,2,Average,2,Average,1,Below Average,3,Above Average,2.2,0.6324555320336759,High
763,556,2983,805,Census Tract 20.01; District of Columbia; District of Columbia,11,001,002001,2983,309,96,805,2983,1486,446,805,805,158,2983,2485,1313,805,2983,677,486,2983,805,1305,694,570,1116,2759,233,532,805,2980,821,1230,806,2979,1125,254,298,128,11001002001,2983,2983,805,805,820.3590677258343,25.6,17.3,10.4,1.6,49.8,6.5,83.3,23.1,44.0,19.3,43.7,11.2,40.4,18.0,17.9,6.2,41.3,25.2,26.5,9.7,30,3,Above Average,2,Average,2,Average,3,Above Average,4,Well Above Average,4,Well Above Average,4,Well Above Average,3,Above Average,3,Above Average,2,Average,4,Well Above Average,3.0,0.816496580927726,High
821,223,4106,589,Census Tract 20.02; District of Columbia; District of Columbia,11,001,002002,4106,498,120,589,4106,2054,418,589,589,355,4106,2789,770,589,4106,478,305,4106,589,784,568,247,308,3861,129,345,590,4087,292,678,594,4051,1512,337,274,130,11001002002,4106,4106,589,589,687.7106949873616,20.0,4.6,12.1,2.3,50.0,7.2,67.9,13.0,18.8,11.3,19.1,6.9,8.0,6.3,8.4,2.9,16.7,6.8,18.1,7.6,22,2,Average,2,Average,2,Average,2,Average,3,Above Average,3,Above Average,3,Above Average,2,Average,2,Average,1,Below Average,3,Above Average,2.2,0.6324555320336759,High
1789,587,5946,1121,Census Tract 21.01; District of Columbia; District of Columbia,11,001,002101,5946,719,163,1121,5946,3062,715,1121,1121,383,5946,4922,1554,1121,5946,1001,549,5946,1121,1392,1067,315,659,5254,209,636,1121,5946,700,1258,1121,5946,2513,339,737,214,11001002101,5946,5946,1121,1121,1184.6223026771022,30.1,8.1,12.1,1.5,51.5,7.1,82.8,16.9,26.1,16.1,23.4,8.1,12.5,5.4,10.7,2.9,21.2,11.1,29.3,7.5,26,3,Above Average,2,Average,2,Average,3,Above Average,4,Well Above Average,3,Above Average,3,Above Average,2,Average,2,Average,2,Average,4,Well Above Average,2.6,0.6992058987801011,High
1227,244,5043,646,Census Tract 21.02; District of Columbia; District of Columbia,11,001,002102,5043,531,232,646,5043,2860,386,646,646,227,5043,4258,1411,646,5043,491,294,5043,646,689,646,212,278,4714,168,430,646,5036,371,941,642,5029,2342,354,533,240,11001002102,5043,5043,646,646,684.7225715572695,24.3,3.7,10.5,4.4,56.7,2.4,84.4,11.7,28.0,9.1,13.7,5.6,5.9,4.4,8.5,3.2,18.7,7.0,22.8,9.7,24,3,Above Average,2,Average,3,Above Average,3,Above Average,4,Well Above Average,2,Average,2,Average,2,Average,2,Average,1,Below Average,3,Above Average,2.4,0.8432740427115679,High
